keys,tr,en,es,pt_BR,de,fr
"Kenar Mayını","Kenar Mayını","Edge Mine","Mina Borde","Mina Borda","Rand Mine","Mine Bord"
"Kesik Darbe","Kesik Darbe","Broken Pulse","Pulso Roto","Pulso Quebrado","Gebrochen Impuls","Impulsion Brisée"
"Kesik Işın","Kesik Işın","Broken Beam","Rayo Roto","Feixe Quebrado","Gebrochen Strahl","Rayon Brisé"
"Kesişen Işın","Kesişen Işın","Crossing Beams","Rayos Cruce","Feixes Cruzamento","Kreuzung Strahlen","Rayons Croisement"
"Keskin Atım","Keskin Atım","Sharp Pulse","Pulso Agudo","Pulso Afiado","Scharf Impuls","Impulsion Précise"
"Kırık Güvenlik","Kırık Güvenlik","Broken Safety","Seguridad Rota","Segurança Quebrada","Gebrochen Sicherheit","Sécurité Brisée"
"Kırık Işın","Kırık Işın","Cracked Beam","Rayo Agrietado","Feixe Rachado","Rissig Strahl","Rayon Fissuré"
"Kırık Rota","Kırık Rota","Broken Route","Ruta Rota","Rota Quebrada","Gebrochen Route","Trajectoire Brisée"
"Kırık Rotor","Kırık Rotor","Broken Rotor","Rotor Roto","Rotor Quebrado","Gebrochen Rotor","Rotor Brisé"
"Kırık Yay","Kırık Yay","Broken Arc","Arco Roto","Arco Quebrado","Gebrochen Bogen","Arc Brisé"
"Kırık Yörünge","Kırık Yörünge","Broken Orbit","Órbita Rota","Órbita Quebrada","Gebrochen Umlaufbahn","Orbite Brisée"
"Kırık Zikzak","Kırık Zikzak","Broken Zigzag","Zigzag Roto","Zigue-zague Quebrado","Gebrochen Zickzack","Zigzag Brisé"
"Kilitli Devir","Kilitli Devir","Locked Rotation","Rotación Bloqueada","Rotação Travada","Verriegelt Drehung","Rotation Verrouillée"
"Kilitli Halka","Kilitli Halka","Locked Ring","Anillo Bloqueado","Anel Travado","Verriegelt Ring","Anneau Verrouillé"
"Kinetik Sınav I","Kinetik Sınav I","Kinetic Trial I","Prueba Cinético I","Prova Cinético I","Kinetisch Prüfung I","Épreuve Cinétique I"
"Kinetik Sınav II","Kinetik Sınav II","Kinetic Trial II","Prueba Cinético II","Prova Cinético II","Kinetisch Prüfung II","Épreuve Cinétique II"
"Lazer Girişi","Lazer Girişi","Laser Entry","Entrada Láser","Entrada Laser","Laser Eingang","Entrée Laser"
"Lazer Ustalığı","Lazer Ustalığı","Laser Mastery","Maestría Láser","Maestria Laser","Laser Meisterschaft","Maîtrise Laser"
"Mayın Çemberi","Mayın Çemberi","Mine Circle","Círculo Mina","Círculo Mina","Mine Kreis","Cercle Mine"
"Mayın Dişlisi","Mayın Dişlisi","Mine Gear","Engranaje Mina","Engrenagem Mina","Mine Zahnrad","Engrenage Mine"
"Mayın Girişi","Mayın Girişi","Mine Entry","Entrada Mina","Entrada Mina","Mine Eingang","Entrée Mine"
"Mayın Kilidi","Mayın Kilidi","Mine Lock","Cerrojo Mina","Trava Mina","Mine Schloss","Verrou Mine"
"Mayın Ustalığı","Mayın Ustalığı","Mine Mastery","Maestría Mina","Maestria Mina","Mine Meisterschaft","Maîtrise Mine"
"Mayın ve Işık","Mayın ve Işık","Mine and Light","Mina y Luz","Mina e Luz","Mine und Licht","Mine et Lumière"
"Mayın Yörüngesi","Mayın Yörüngesi","Mine Orbit","Órbita Mina","Órbita Mina","Mine Umlaufbahn","Orbite Mine"
"Mayınlı Çark","Mayınlı Çark","Mined Wheel","Rueda Minada","Roda Minada","Vermint Rad","Roue Minée"
"Ritim Finali","Ritim Finali","Rhythm Finale","Final Ritmo","Final Ritmo","Rhythmus Finale","Finale Rythme"
"Sessiz Aralık","Sessiz Aralık","Silent Gap","Intervalo Silencioso","Intervalo Silencioso","Still Lücke","Intervalle Silencieux"
"Sessiz Devir","Sessiz Devir","Silent Rotation","Rotación Silenciosa","Rotação Silenciosa","Still Drehung","Rotation Silencieuse"
"Sessiz Koridor","Sessiz Koridor","Silent Corridor","Corredor Silencioso","Corredor Silencioso","Still Korridor","Couloir Silencieux"
"Sıkışık Pervane","Sıkışık Pervane","Cramped Propeller","Hélice Estrecha","Hélice Apertada","Beengt Propeller","Hélice Étriquée"
"Sınav I","Sınav I","Trial I","I Prueba","I Prova","Prüfung I","I Épreuve"
"Sınav II","Sınav II","Trial II","II Prueba","II Prova","Prüfung II","II Épreuve"
"Son Devir","Son Devir","Final Rotation","Rotación Final","Rotação Final","Final Drehung","Rotation Final"
"Son Düğüm","Son Düğüm","Final Knot","Nudo Final","Nó Final","Final Knoten","Nœud Final"
"Son Güvenli Açı","Son Güvenli Açı","Final Safe Angle","Ángulo Seguro Final","Ângulo Seguro Final","Final Sicher Winkel","Angle Sûr Final"
"Son Işık Kilidi","Son Işık Kilidi","Final Light Lock","Cerrojo Luz Final","Trava Luz Final","Final Licht Schloss","Verrou Lumière Final"
"Son Koridor","Son Koridor","Final Corridor","Corredor Final","Corredor Final","Final Korridor","Couloir Final"
"Son Sınav I","Son Sınav I","Final Trial I","Prueba Final I","Prova Final I","Final Prüfung I","Épreuve Final I"
"Sönen Hat","Sönen Hat","Fading Line","Línea Evanescente","Linha Desvanecente","Verblassend Linie","Ligne Déclinante"
"Sönük Koridor","Sönük Koridor","Dim Corridor","Corredor Tenue","Corredor Escuro","Dunkel Korridor","Couloir Sombre"
"Ters Açı","Ters Açı","Reverse Angle","Ángulo Inverso","Ângulo Inverso","Umgekehrt Winkel","Angle Inversé"
"Ters Darbe","Ters Darbe","Reverse Pulse","Pulso Inverso","Pulso Inverso","Umgekehrt Impuls","Impulsion Inversée"
"Ters Devir","Ters Devir","Reverse Rotation","Rotación Inversa","Rotação Inversa","Umgekehrt Drehung","Rotation Inversée"
"Ters Fitil","Ters Fitil","Reverse Fuse","Mecha Inverso","Pavio Inverso","Umgekehrt Zünder","Mèche Inversée"
"Ters Halka","Ters Halka","Reverse Ring","Anillo Inverso","Anel Inverso","Umgekehrt Ring","Anneau Inversé"
"Ters Kilit","Ters Kilit","Reverse Lock","Cerrojo Inverso","Trava Inverso","Umgekehrt Schloss","Verrou Inversé"
"Ters Koridor","Ters Koridor","Reverse Corridor","Corredor Inverso","Corredor Inverso","Umgekehrt Korridor","Couloir Inversé"
"Ters Pervane","Ters Pervane","Reverse Propeller","Hélice Inversa","Hélice Inversa","Umgekehrt Propeller","Hélice Inversée"
"Üçlü Dönüş","Üçlü Dönüş","Triple Turn","Triple Giro","Triplo Giro","Dreifach Kurve","Triple Virage"
"Üçlü Tehdit","Üçlü Tehdit","Triple Threat","Triple Amenaza","Triplo Ameaça","Dreifach Bedrohung","Triple Menace"
"Yankı Duvarı","Yankı Duvarı","Echo Wall","Muro Eco","Parede Eco","Echo Wand","Mur Écho"
"Zırhlı Atım","Zırhlı Atım","Armored Pulse","Pulso Blindado","Pulso Blindado","Gepanzert Impuls","Impulsion Blindée"
"Zırhlı Çember","Zırhlı Çember","Armored Circle","Círculo Blindado","Círculo Blindado","Gepanzert Kreis","Cercle Blindé"
"Zırhlı Devir","Zırhlı Devir","Armored Rotation","Rotación Blindada","Rotação Blindada","Gepanzert Drehung","Rotation Blindée"
"Zırhlı Fitil","Zırhlı Fitil","Armored Fuse","Mecha Blindado","Pavio Blindado","Gepanzert Zünder","Mèche Blindée"
"Zırhlı Geçit","Zırhlı Geçit","Armored Passage","Pasaje Blindado","Passagem Blindada","Gepanzert Durchgang","Passage Blindé"
"Zırhlı Lazer","Zırhlı Lazer","Armored Laser","Láser Blindado","Laser Blindado","Gepanzert Laser","Laser Blindé"
"Zırhlı Mayın","Zırhlı Mayın","Armored Mine","Mina Blindada","Mina Blindada","Gepanzert Mine","Mine Blindée"
"Zırhlı Rotor","Zırhlı Rotor","Armored Rotor","Rotor Blindado","Rotor Blindado","Gepanzert Rotor","Rotor Blindé"
"Sürükle, nişan al ve bırak.","Sürükle, nişan al ve bırak.","Drag, aim, and release.","Arrastra, apunta y suelta.","Arraste, mire e solte.","Ziehen, zielen und loslassen.","Faites glisser, visez et relâchez."
"Metal halkanın açıklığını sekme rotasında kullan.","Metal halkanın açıklığını sekme rotasında kullan.","Use the metal ring's opening in your bounce route.","Usa la abertura del aro metálico en tu ruta de rebote.","Use a abertura do anel de metal na sua rota de quicada.","Nutze die Öffnung des Metallrings für deine Abprallroute.","Utilisez l'ouverture de l'anneau métallique dans votre trajectoire."
"Mayına değmeden güvenli sekme açısını bul.","Mayına değmeden güvenli sekme açısını bul.","Find a safe bounce angle without touching the mine.","Encuentra un ángulo de rebote seguro sin tocar la mina.","Encontre um ângulo seguro de quicada sem tocar na mina.","Finde einen sicheren Abprallwinkel, ohne die Mine zu berühren.","Trouvez un angle de rebond sûr sans toucher la mine."
"Dönen çarkın kolları arasındaki boşluğu zamanla.","Dönen çarkın kolları arasındaki boşluğu zamanla.","Time your shot through the gap between the rotating spokes.","Calcula el tiro para pasar entre las aspas giratorias.","Acerte o momento do lançamento entre as pás giratórias.","Passe deinen Schuss an die Lücke zwischen den rotierenden Armen an.","Synchronisez votre tir avec l'espace entre les branches en rotation."
"Lazer sönükken atışını çizginin ötesine geçir.","Lazer sönükken atışını çizginin ötesine geçir.","Send your shot past the line while the laser is off.","Haz que el tiro cruce la línea mientras el láser esté apagado.","Faça o lançamento cruzar a linha enquanto o laser estiver apagado.","Schieße über die Linie, solange der Laser aus ist.","Faites passer le tir au-delà de la ligne pendant que le laser est éteint."
